,Subject,part_condition,Passages,trial_difficulty,RT,answers,QuestionNum,MW,Gender,ImplicitWP,MindwanderTheory,Chronotype,ChronotypePM,ChronotypeAM,ChronotypeC,MindwanderTheoryC,ImplicitWP_C,RT_wind_Z,RT_wind
146,27,cond2,5,Easy,6587,0,5.1,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-0.027068448,6587
147,27,cond2,5,Easy,6971,0,5.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,0.041822293,6971
148,27,cond2,5,Easy,6295,0,5.3,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-0.079454115,6295
149,27,cond2,6,Hard,690,1,6.1,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.085007767,690
150,27,cond2,6,Hard,423,1,6.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.13290836,423
151,27,cond2,6,Hard,217,0,6.3,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
152,27,cond2,7,Easy,166,0,7.1,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
153,27,cond2,7,Easy,276,0,7.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
154,27,cond2,8,Hard,213,0,8.1,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
155,27,cond2,8,Hard,199,1,8.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
156,27,cond2,8,Hard,207,1,8.3,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
157,31,cond2,1,Easy,7878.335,1,1.1,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.204600887,7878.335
158,31,cond2,1,Easy,11731.6,1,1.2,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.895888076,11731.6
159,31,cond2,1,Easy,5315.465,0,1.3,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,-0.255185604,5315.465
160,31,cond2,1,Easy,13810.57,1,1.4,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,1.26886147,13810.57
161,31,cond2,1,Easy,5401.605,1,1.5,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,-0.239731832,5401.605
162,31,cond2,1,Easy,23989.335,1,1.6,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,3.09496215,23989.335
163,31,cond2,1,Easy,12173.43,1,1.7,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.97515369,12173.43
164,31,cond2,2,Hard,5558.575,0,2.1,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,-0.211570948,5558.575
165,31,cond2,2,Hard,12466.54,0,2.2,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,1.027738495,12466.54
166,31,cond2,3,Easy,7591.015,0,3.1,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.153054826,7591.015
167,31,cond2,3,Easy,13563.94,1,3.2,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,1.224615315,13563.94
168,31,cond2,4,Hard,8653.095,0,4.1,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.343595133,8653.095
169,31,cond2,4,Hard,10678.045,0,4.2,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.706877179,10678.045
170,31,cond2,4,Hard,2984.76,0,4.3,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,-0.673321005,2984.76
171,31,cond2,4,Hard,10333.03,1,4.4,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.644980463,10333.03
172,31,cond2,5,Easy,6268.695,1,5.1,0,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,-0.08417331,6268.695
173,31,cond2,5,Easy,7866.79,0,5.2,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.20252968,7866.79
174,31,cond2,5,Easy,11549.21,0,5.3,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,0.863166768,11549.21
175,31,cond2,6,Hard,1177.455,1,6.1,1,female,22,18,15,6.102679054,-1.030215286,2.536231884,-3.140625,-1.590909091,-0.997556891,1177.455
